category,name,price,status,url
processor,AMD Ryzen 5 8400F Processor,"14,500৳",N/A,https://www.startech.com.bd/amd-ryzen-5-8400f-processor
processor,AMD Ryzen 5 3600 Processor,"11,900৳ 13,500৳",N/A,https://www.startech.com.bd/amd-ryzen-5-3600-processor
graphics-card,Colorful GeForce GT710-2GD3-V 2GB Graphics Card,"4,900৳ 5,200৳",N/A,https://www.startech.com.bd/colorful-geforce-gt710-2gd3-v-graphics-card
graphics-card,PELADN GeForce KaiTian GT 730 4GB GDDR3 Graphics Card,"5,200৳",N/A,https://www.startech.com.bd/peladn-geforce-kaitian-gt-730-4gd3-graphics-card
graphics-card,MSI GT 710 2GD3H LP 2GB DDR3 Gaming Graphic Card,"4,900৳ 5,300৳",N/A,https://www.startech.com.bd/msi-gt-710-2gd3h-lp-graphics-card
graphics-card,Gigabyte GT 710 2GB DDR3 Graphics Card,"5,800৳ 6,200৳",N/A,https://www.startech.com.bd/gigabyte-gv-n710d3-2gl
graphics-card,OCPC GeForce GT 730 4GB DDR3 Graphics Card,"6,200৳ 6,250৳",N/A,https://www.startech.com.bd/ocpc-geforce-gt-730-4gb-graphics-card
graphics-card,ASUS GeForce GT 710 2GB GDDR5 EVO Low-profile Graphics Card,"6,800৳",N/A,https://www.startech.com.bd/asus-geforce-gt-710-2gb-gddr5-evo-low-profile-graphics-card
graphics-card,MSI GeForce GT 730 2GB DDR3 Graphics Card,"6,800৳ 6,900৳",N/A,https://www.startech.com.bd/msi-geforce-gt-730-2gb-graphics-card
graphics-card,MSI GeForce GT 730 4GB DDR3 Graphics Card,"7,900৳",N/A,https://www.startech.com.bd/msi-gt-730-4gb-graphics-card
graphics-card,Asus Geforce Gt 730 2GB GDDR5 Graphics Card,"9,000৳ 9,300৳",N/A,https://www.startech.com.bd/asus-geforce-gt-730-2gb-gddr5-graphics-card
graphics-card,Gigabyte GT 1030 Low Profile D4 2GB DDR4 Graphics Card,"9,200৳ 9,300৳",N/A,https://www.startech.com.bd/gigabyte-gt-1030-low-profile-d4-2g-graphics-card
graphics-card,Colorful GeForce GT1030 V3 2GB Graphics Card,"8,900৳ 9,700৳",N/A,https://www.startech.com.bd/colorful-geforce-gt1030-v3-graphics-card
graphics-card,MSI GeForce GT 1030 4GD4 LP OC 4GB Graphics Card,"10,500৳",N/A,https://www.startech.com.bd/msi-geforce-gt-1030-4gd4-lp-oc-4gb-graphics-card
graphics-card,ASUS GeForce GT 1030 2GB GDDR5 low Profile Graphics Card,"10,700৳ 10,800৳",N/A,https://www.startech.com.bd/asus-geforce-gt-1030-graphics-card
graphics-card,PowerColor Red Dragon Radeon RX 550 4GB GDDR5 Graphics Card,"11,000৳ 11,500৳",N/A,https://www.startech.com.bd/powercolor-red-dragon-radeon-rx-550-4gb-graphics-card
graphics-card,GIGABYTE Intel Arc A310 WINDFORCE 4G GDDR6 Graphics Card,"14,000৳ 15,000৳",N/A,https://www.startech.com.bd/gigabyte-intel-arc-a310-windforce-4g-graphics-card
graphics-card,Asus Geforce GT 730 2GB GDDR5 Graphics Card with 4 HDMI Ports,"15,000৳ 15,400৳",N/A,https://www.startech.com.bd/asus-gt-730-2gb-gddr5-graphics-card
graphics-card,GUNNIR Intel Arc A380 Index 6G GDDR6 Graphics Card,"14,800৳ 15,800৳",N/A,https://www.startech.com.bd/gunnir-intel-arc-a380-index-6g-graphics-card
graphics-card,GUNNIR Intel Arc A380 Photon 6G OC GDDR6 Graphics Card,"15,900৳ 17,000৳",N/A,https://www.startech.com.bd/gunnir-intel-arc-a380-photon-6g-oc-graphics-card
graphics-card,GUNNIR Intel Arc A380 Photon 6G OC W GDDR6 Graphics Card,"16,000৳ 17,000৳",N/A,https://www.startech.com.bd/gunnir-intel-arc-a380-photon-6g-oc-w-graphics-card
graphics-card,PELADN RX 5500 8G GDDR6 Dual Fan Gaming Graphics Card,"17,900৳",N/A,https://www.startech.com.bd/peladn-rx-5500-8gd6-black-gaming-graphics-card
motherboard,Gigabyte A520M DS3H Micro-ATX AMD AM4 Motherboard,"10,100৳ 10,500৳",N/A,https://www.startech.com.bd/gigabyte-a520m-ds3h-ultra-durable-motherboard
motherboard,Intel Core i5-7640X Processor & Asus TUF X299 MARK 2 Motherboard Combo,"50,000৳",N/A,https://www.startech.com.bd/intel-core-i5-7640x-cpu-asus-tuf-x299-mark-2-motherboard-combo
motherboard,Colorful BATTLE-AX B450M-K M.2 V14 AM4 mATX Motherboard,"7,700৳ 8,000৳",N/A,https://www.startech.com.bd/colorful-battle-ax-b450m-k-m-2-v14-motherboard
motherboard,MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard,"8,100৳ 8,300৳",N/A,https://www.startech.com.bd/msi-a520m-a-pro-motherboard
motherboard,ASRock B450M-HDV R4.0 AMD Motherboard,"7,999৳ 8,400৳",N/A,https://www.startech.com.bd/asrock-b450m-hdv-r4-amd-motherboard
motherboard,ASRock A520M-HVS AMD AM4 Micro ATX Motherboard,"7,900৳ 8,450৳",N/A,https://www.startech.com.bd/asrock-a520m-hvs-motherboard
motherboard,GIGABYTE B450M K AMD AM4 Micro ATX Motherboard,"7,650৳ 8,500৳",N/A,https://www.startech.com.bd/gigabyte-b450m-k-motherboard
motherboard,GIGABYTE A520M K V2 AM4 Micro ATX Motherboard,"8,200৳ 8,500৳",N/A,https://www.startech.com.bd/gigabyte-a520m-k-v2-motherboard
motherboard,Asus PRIME A520M-R AM4 micro ATX Motherboard,"8,500৳",N/A,https://www.startech.com.bd/asus-prime-a520m-r-motherboard
motherboard,MSI B450M-A PRO MAX II AMD AM4 Motherboard,"8,500৳ 8,700৳",N/A,https://www.startech.com.bd/msi-b450m-a-pro-max-ii-motherboard
motherboard,MSI H310M PRO-VDH Intel 9th Gen Motherboard,"8,800৳ 9,000৳",N/A,https://www.startech.com.bd/msi-h310m-pro-vdh-motherboard
motherboard,Asus H81M-K 4th Gen Motherboard,"9,300৳",N/A,https://www.startech.com.bd/asus-h81m-k-4th-gen-motherboard
motherboard,GIGABYTE GA-H81M-H 4th Gen Micro ATX Motherboard,"9,000৳ 9,500৳",N/A,https://www.startech.com.bd/gigabyte-ga-h81m-h-motherboard
motherboard,GIGABYTE H510M K Intel Micro ATX Motherboard,"9,600৳ 1,000৳",N/A,https://www.startech.com.bd/gigabyte-h510m-k-motherboard
motherboard,Asus PRIME B450M-K II DDR4 AMD AM4 micro ATX Motherboard,"9,100৳ 9,500৳",N/A,https://www.startech.com.bd/asus-prime-b450m-k-ii-motherboard
motherboard,MSI PRO H510M-B II 10th Gen Micro-ATX Motherboard,"9,000৳ 9,500৳",N/A,https://www.startech.com.bd/msi-pro-h510m-b-ii-motherboard
motherboard,MSI H510M PLUS II 10th/11th Gen mATX Motherboard,"9,500৳",N/A,https://www.startech.com.bd/msi-h510m-plus-ii-motherboard
motherboard,GIGABYTE H510M H V2 11th/10th Gen Micro ATX Motherboard,"9,118৳ 9,700৳",N/A,https://www.startech.com.bd/gigabyte-h510m-h-v2-10th-gen-motherboard
motherboard,Gigabyte GA-H110M-H Micro ATX Motherboard,"9,200৳ 9,800৳",N/A,https://www.startech.com.bd/gigabyte-ga-h110m-h-motherboard
motherboard,Gigabyte H310M M.2 9th Gen Micro ATX Motherboard,"9,300৳ 9,900৳",N/A,https://www.startech.com.bd/gigabyte-h310m-m2-motherboard
router,Mercusys MW306R 300Mbps WiFi Router,"998৳ 1,109৳",N/A,https://www.startech.com.bd/mercusys-mw306r-300-mbps-wireless-n-router
router,Mercusys MW325R 300Mbps Wifi Router,"1,220৳ 1,309৳",N/A,https://www.startech.com.bd/mercusys-mw325r
router,D-Link R04 N300 300mbps Smart Router,"1,350৳",N/A,https://www.startech.com.bd/d-link-r04-n300-300mbps-eagle-pro-ai-smart-router
router,Tenda F3 300mbps Wireless Router,"1,375৳",N/A,https://www.startech.com.bd/tenda-f3
router,TP-Link TL-WR840N 300Mbps Wireless Router,"1,390৳",N/A,https://www.startech.com.bd/tp-link-tl-wr840n-v2-300mbps-wireless-router
router,TP-Link TL-WR850N WiFi Router,"1,390৳",N/A,https://www.startech.com.bd/tp-link-tl-wr850n-router
router,Zyxel NBG-418N V2 300 Mbps Wireless Router,"980৳ 1,400৳",N/A,https://www.startech.com.bd/zyxel-nbg-418n-v2-router
router,Netis Wf2419E 300Mbps Wireless N Router,"1,400৳ 1,450৳",N/A,https://www.startech.com.bd/netis-wf2419e-router
router,Netis WF2409E 300Mbps Wireless N Router,"1,550৳",N/A,https://www.startech.com.bd/netis-wf409e-router
router,Tenda F6 300Mbps WiFi Router,"1,499৳ 1,550৳",N/A,https://www.startech.com.bd/tenda-f6-300mbps-n300-wifi-router
router,TP-Link TL-WR841N 300Mbps Wireless Router,"1,510৳ 1,590৳",N/A,https://www.startech.com.bd/tp-link-tl-wr841n-300mbps-wireless-router
router,Mercusys MW330HP 300Mbps WiFi Router,"1,529৳ 1,609৳",N/A,https://www.startech.com.bd/mercusys-mw330hp-wireless-n-router
router,Mercusys AC10 AC1200 Dual Band WiFi Router,"1,550৳ 1,609৳",N/A,https://www.startech.com.bd/mercusys-ac10-ac1200-dual-band-wifi-router
router,Tp-link TL-WR845N 300Mbps Wireless Router,"1,650৳ 1,679৳",N/A,https://www.startech.com.bd/TP-Link-WR845N-300Mbps-Wireless-N-Router
router,Netis W4 300Mbps WiFi Router,"1,700৳",N/A,https://www.startech.com.bd/netis-w4-router
router,Tenda AC3 AC750 Dual-Band Wi-Fi Router,"1,750৳",N/A,https://www.startech.com.bd/tenda-ac3-ac750-router
router,Ruijie RG-EW300N 300Mbps Smart Wi-Fi Router,"1,800৳",N/A,https://www.startech.com.bd/ruijie-rg-ew300n-router
router,TP-Link TD-W8961N 300Mbps ADSL2+ Modem Router,"1,796৳ 1,890৳",N/A,https://www.startech.com.bd/tp-link-td-w8961n-wireless-n-modem-router
router,TP-Link Archer C24 AC750 Dual-Band WiFi Router,"1,804৳ 1,899৳",N/A,https://www.startech.com.bd/tp-link-archer-c24-ac750-dual-band-wi-fi-router
